"Unique.ID","Indicator.ID.x","Name","Measure","Measure.Info","Geo.Type.Name","Geo.Join.ID","Geo.Place.Name","Time.Period","Start_Date","Data.Value","County","Year","County.Code","Health.Topic.Number","Health.Topic","Indicator.ID.y","Indicator.Name","Trend.Data.County.Value","Trend.Data.NYC.Value","Three.Year.Average.County.Value","Data.Source","Category","Risk_Level","county_vs_nyc"
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,3,"Child and Adolescent Health Indicators","h36","Asthma hospitalization rate per 10,000 - Aged 0-4 years",145.8,69.7,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",109
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,3,"Child and Adolescent Health Indicators","h37","Asthma hospitalization rate per 10,000 - Aged 5-14 years",72.3,36.2,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",100
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,3,"Child and Adolescent Health Indicators","h38","Asthma hospitalization rate per 10,000 - Aged 0-17 years",86.7,43.3,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",100
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h35","Asthma hospitalization rate per 10,000",55.6,27.4,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",103
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h35a","Age-adjusted asthma hospitalization rate per 10,000",55.8,28.1,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",99
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h36","Asthma hospitalization rate per 10,000 - Aged 0-4 years",145.8,69.7,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",109
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h37","Asthma hospitalization rate per 10,000 - Aged 5-14 years",72.3,36.2,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",100
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h38","Asthma hospitalization rate per 10,000 - Aged 0-17 years",86.7,43.3,NA,"SPARCS Data as of December, 2017","Hospitalization","Very High",100
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h39","Asthma hospitalization rate per 10,000 - Aged 5-64 years",44.2,21,NA,"SPARCS Data as of December, 2017","Hospitalization","High",110
219969,386,"Ozone (O3)","Mean","ppb","Borough",1,"Bronx","Summer 2013","6/1/2013",31.25,"Bronx","2013",58,13,"Respiratory Disease Indicators","h40","Asthma hospitalization rate per 10,000 - Aged 15-24 years",22.9,11.3,NA,"SPARCS Data as of December, 2017","Hospitalization","Medium",103
